BGGId,Name,Description,YearPublished,GameWeight,AvgRating,BayesAvgRating,StdDev,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,Kickstarted,ImagePath,Rank:boardgame,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
766,Regatta,object game skipper yacht cross finish line decide tack powerful spinnaker downwind leg try advantage unexpected wind shift blanket opponent sail facet real sailboat racing includedthe   version include island   card     version include single island   card   suggest course vary editionsoriginally release m sport game line,1967,2.0667,6.3433,5.70169,1.45842,2,6,9.5,16,0,https://cf.geekdo-images.com/Qcp_rcAvhVi9oEEjEyoxyA__original/img/T7Zcgnd53IBzPItZ836SCWQ2Z4g=/0x0/filters:format(jpeg)/pic1514950.jpg,4978,1718,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
767,Keywood,game cabinet review    player attempt settle govern new land village player introduce new villager turn turn total villager start farmer earn fix income income spend purchase trade license allow villager set trader trader earn income base population village village elect representative government turn councilor town income turn realism   provision special interest group political action committee government decide tax farmer tax trader revoke type trade license session government break councilor pay way home pay small fee remain government turn sound realistic turn new marketplace open double income host village village bid fiercely right host new market turn finally villager trader earn income pay taxis player money round play inherit control land keywood win gamekeywood richard breese game key series,1995,2,6.80727,5.53937,1.37058,2,5,,196,0,https://cf.geekdo-images.com/e9u86Ck4kaEVNlkUPLyPzg__original/img/TjhQQ4YS1FlHzMrUlda33lUDz3A=/0x0/filters:format(jpeg)/pic559795.jpg,11542,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
768,Keytown,describe publisherdesignerkeytown game player last approximately     minute player control team townsfolk promote new leader keytown lsquoolden daysrsquo game keydom team specialize different activity mining fishing forestry brewing farming passing time townsfolk skilled activity aspire gain skill experience churchman councillor tradesman new skill come seniority prestige high standing peersin game townsfolk seniority represent numbered tile keytown play round round represent generation life townsfolk townsfolk work study resource location gain new skill church council market start family cottage generation team destine emerge new leader keytown winner game player townsfolk collectively hold esteem end round fourlike keydom content include colour board print counter wooden cube rule component english germankeytown richard breese game key series,2000,2.8,6.53952,5.56058,1.3456,2,5,10,,0,https://cf.geekdo-images.com/-JdNfFaP1XTU45pnA2JDFQ__original/img/e3q5KymYyekbKFky37Ndaoe9dEM=/0x0/filters:format(jpeg)/pic560210.jpg,9527,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
769,Star Trek Red Alert,diskwar variant fight space battle star trek universe cardboard disk miniature represent space ship crew technology,2000,2.3333,6.49074,5.5512,1.57818,2,8,,,0,https://cf.geekdo-images.com/paaMNxs_AknzVWnQCCaoxQ__original/img/2pqpvwfjTs9X6dRSP1muJS5iAzo=/0x0/filters:format(jpeg)/pic73594.jpg,10247,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
770,Loot,card trading ship pirate ship pirate admiral player send trading ship value voyage survive round attack player pirate ship defend trader pirate collect spoil attack elsewheredescription heidelberger releaseessen release   nice small black box embossed letter game   trade ship worth different amount gold      pirate ship     color pirate ship worth   skull player skull play trade ship capture lead keep pass table   pirate captain   color help win battle   admiral help defend trade ship game playable   player individually partner play     mensa select,1992,1.3779,6.29663,6.10682,1.2394,2,8,6.837837838,91,0,https://cf.geekdo-images.com/bPHs6H5DDCU1X93Ug1e2Aw__original/img/0Q0Ufq8DDJc2Ns2Vp2pGEdXaCis=/0x0/filters:format(jpeg)/pic3360346.jpg,2074,21926,21926,683,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
771,Kings and Castles,english king oppose king england die   game happen man occupy throne   year particularly unpleasant bunch main thought personal aggrandisement having deprive english right selfgovernment energetic set try similar job neighbour king amp castle player man pursue ambition home abroad treatment broadbrush fairly abstract map counter carry picture castle soldier nt start worry dice combat result wargameplayer turn conquer region possible opponent force   intriguing mechanic   decide tax hard work peasant plenty decision making room tactic different playerke sequence time play,2000,2.6154,6.63192,5.58676,1.31211,2,4,10,41,0,https://cf.geekdo-images.com/t_ZReOfQVsiA5u9YQURCAA__original/img/0NmO5Y2GeRyShrUGmPtidPgK_u4=/0x0/filters:format(jpeg)/pic63978.jpg,7994,1981,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
772,Ausbrecher AG,seven criminal escape prison island monte ganovo reach   small boat wait boat sink wreck whilst fourth boat modern speedboat seven time run path player start write prediction finish order prisoner use match color dice prisoner forward backward path boat boat number     well prediction point score funny simple dice roller work well player game reissued   simba troumldeln child want class sit backreimplemente      trdeln,1985,1.3448,6.06098,5.57822,1.15182,2,6,9,241.2,0,https://cf.geekdo-images.com/Cley909le3JswBhGdpHrFQ__original/img/o-wncQcfQkBcEEJBqeZpT0r3o8g=/0x0/filters:format(jpeg)/pic155236.jpg,8421,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
773,Beim Zeus!,auctioning game player bid buy plot land build temple require      plot build cost plot determine cost temple later build plotsin final scoring player receive variable score temple base score depend temple size      size      temple respectively multiply number temple size player remain money plus bonus point build different island show game board add hisher score,1997,2.1429,5.17568,5.4842,1.47829,3,6,,511,0,https://cf.geekdo-images.com/85xfd-cij9VCTKyIFs1SQw__original/img/_uW4QunEgvwz1hcCnuvv3Xpq5D4=/0x0/filters:format(jpeg)/pic215553.jpg,19685,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
775,Die Tafelrunde,similar guillotine later redesign bruno faidutti draco amp co die tafelrunde game positioningdraco king sit round table distribute gold subject sit   distribute gold start player close hand hold goblet sit farthest goblet pay privelege sit table   player play card hand close draco player far away   money end game winsrerelease eurogame draco amp coschacht design sequel die tafelrunde    auf der flucht theme world different game,2000,1,5.77424,5.50247,1.20693,3,4,,,0,https://cf.geekdo-images.com/LnmiLjfsPZg4waVwx7RSeQ__original/img/f_sNKKltxCZwXyNa0015AWk70s4=/0x0/filters:format(jpeg)/pic122526.jpg,17545,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
776,Remmi Demmi,game sort update version   parker brother classic pit   object game trade group card fellow player effort collect entire set card   remmi demmi change game slightly add characteristic card card categorize color position figure card   object game basically collect set collect figure color   addition hand play variable time limit dealer get play quick hand think remmi quickly long hand   way set remmi get point follow get,1999,1,5.63273,5.50048,1.64328,4,9,,526,0,https://cf.geekdo-images.com/jv0B3fzzGzgehaeuUkV-sA__original/img/rd4OaIAJaumKmYEIelQbQVVvpVs=/0x0/filters:format(jpeg)/pic19352.jpg,17839,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
781,Tabloid Teasers,box headline appear actual tabloid newspaper group friend play tabloid teaser real onein tabloid teaser fun begin give headline appear national tabloid player fill blank create wild outrageous headline headline   include real   read loud player vote think real right ahead advance fool player think incredible headline real   ready hysterical time absurdity fun   ready tabloid teasersp vote   pick real headline,1991,1.1,5.91235,5.51107,1.83505,3,6,,,0,https://cf.geekdo-images.com/Qyipn-S2eFYDZ1lpcbWUZg__original/img/MsOUFIsrfp_Ahf6qN-Oi0ivjiQc=/0x0/filters:format(jpeg)/pic44824.jpg,16069,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
782,"Win, Place & Show",race meeting consist   race   horse vary power characteristic   board show oval track lane straightforward straight graduate curve   dice play game plenty room skillful maneuvering course race   furlong    mile   important game provide certain mark square horse stop overtake horse ahead line vital consider swerve permit turn jockey apprentice   horse distinctive racing pattern slow fast starter stayer fader etc represent set number turn   number add single dice throw common horse speed race vary substantially   interesting factor numerous describe short review   odd horse preset depend largely number pattern describe aboveoriginally release m sport game line,1966,2.0842,6.72781,5.87849,1.44145,3,6,11.5,23,0,https://cf.geekdo-images.com/GCIOls6imbmumEhP4JzMmg__original/img/C5Q1wRXfTSTGl2AINLXkuB0JF0M=/0x0/filters:format(jpeg)/pic203905.jpg,3200,1379,21926,943,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0
783,Letter Head,reviewactually game   box equipment set card show letter point value wild cardsyou hand   card draw like reach    start   turn play word table card like face announce word get chance doubt card   doubt point play qxzv huge number point score honest bonus doubter lie doubter bonus bonus depend hand size card play,2000,1.5714,5.9582,5.5211,1.53185,1,9,12,,0,https://cf.geekdo-images.com/D7OJiagYxGoG0RLzZL-DGg__original/img/nIxfP_JSykjmfBw0Ey72sMh4IrY=/0x0/filters:format(jpeg)/pic2903605.jpg,14328,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
784,Discretion,game real estate development speculation   player develop plot land different type building identify color   building type pay periodically depend card draw   determine number contrast adjacent color   expense accrue turn revenue unpredictable risky play expensive force player loan   pricey loan shark send player death spiral,1978,3,6.61538,5.53195,1.6572,2,8,,,0,https://cf.geekdo-images.com/kbNxZZ9_BS7MwkRRaOoScw__original/img/scTjPNLi9qGxnjPo51d6OvFdev8=/0x0/filters:format(jpeg)/pic4088969.jpg,12584,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
785,Dog Eat Dog,decidedly politically uncorrect game player control corporation plunder environment   produce assorted product sake almighty dollar   company produce slightly different product combine different raw material   raw material come part center board   company harvest material choose retain environment purity multiple turn area ecological wasteland   player balance work force collect process raw material try good price finished product randomly adjust market   typically game nature corporation make money winner morally corrupt environment ceo make money s deem winner   way money embezzle company,1999,2.4,5.17083,5.4714,1.80785,2,6,,,0,https://cf.geekdo-images.com/XOJE4CuUjj0dIQ_W-7GqPQ__original/img/TpgR8LNkW158I3r7uZcnLxpgjo4=/0x0/filters:format(jpeg)/pic451258.jpg,20436,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
786,Maxi Bour$e,maxi boure game examine world stock hold   player game board bear name real international corporation ie pepsico ibm peugot etc buying sell stock   stock price change accord supply demand   event rumor card add uncertainty game winner player gain control industry have half stock company industry build conglomerate have half stock company different industrywon internal correspondence   game flop year,1987,2.25,4.54947,5.41503,1.94281,2,6,12,553,0,https://cf.geekdo-images.com/76Gg0dV6pPospEjfzu-u1A__original/img/ClUulqkAJoKR3h--qG0JPfHXLwQ=/0x0/filters:format(jpeg)/pic12642.jpg,21347,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
